iter	RMSE
288	0.3346030138
289	0.3345537808
290	0.334477074
291	0.3343707522
292	0.3343428628
293	0.3342548009
294	0.3342313088
295	0.3342146168
296	0.3341943997
297	0.3341369054
298	0.3341350149
299	0.3341235888
300	0.3340678677
301	0.3339947461
302	0.3339593183
303	0.3339544104
304	0.3339508645
305	0.3339472415
306	0.3339122234
307	0.3338942138
308	0.333828979
309	0.3338240373
310	0.3338040596
311	0.3337577486
312	0.3337081428
313	0.3337073434
314	0.3336145566
315	0.333525223
316	0.3334095031
317	0.3333622442
318	0.3333567726
319	0.3333555343
320	0.3332966574
321	0.3331471034
322	0.3331460396
323	0.3330183134
324	0.3329888442
325	0.3328742765
326	0.3328626493
327	0.3328617138
328	0.3328593483
329	0.3328573014
330	0.3328165137
331	0.3327599947
332	0.3327320069
333	0.332715218
334	0.3327012212
335	0.3326112729
336	0.3325718185
337	0.3325680549
338	0.3325521415
339	0.3325485154
340	0.3324806225
341	0.3324541834
342	0.3323805339
343	0.3323795439
344	0.3323598528
345	0.332329508
346	0.3322850721
347	0.332284387
348	0.3322674933
349	0.3322101666
350	0.3322067963
351	0.3322044631
352	0.3321668183
353	0.3321546372
354	0.3321470013
355	0.3321225326
356	0.3321203481
357	0.332108846
358	0.3320833008
359	0.3320805248
360	0.3320685446
361	0.3319862446
362	0.3319239094
363	0.3318995974
364	0.3318231478
365	0.3317827237
366	0.3317808908
367	0.3317803627
368	0.3316917779
369	0.3316719367
370	0.3316290938
371	0.3315748812
372	0.3314544895
373	0.3313385463
374	0.33133573
375	0.331265277
376	0.331263407
377	0.3312509114
378	0.3312471752
379	0.3311579938
380	0.3311204394
381	0.3311202479
382	0.3311199183
383	0.3311186042
384	0.3311050195
385	0.3311033572
386	0.3310743964
387	0.3310296858
388	0.3310280959
389	0.3310184906
390	0.3310180682
391	0.3309894015
392	0.3308880824
393	0.3308866992
394	0.3308535427
395	0.3308519883
396	0.3308500037
397	0.3308369903
398	0.3308367633
399	0.3308360334
400	0.3308033785
401	0.3308031426
402	0.3307576791
403	0.3307122933
404	0.3307005102
405	0.3306568767
406	0.3305792904
407	0.3305603997
408	0.3305601736
409	0.3305585142
410	0.3305239821
411	0.3305230104
412	0.3304050809
413	0.3303229048
414	0.3303219537
415	0.3303210485
416	0.3302496169
417	0.3302271788
418	0.3301620353
419	0.3301600615
420	0.330129315
421	0.3301028911
422	0.3300277243
423	0.3300268124
424	0.3298925592
425	0.3298467493
426	0.3298282222
427	0.3298279905
428	0.3297953673
429	0.3297743642
430	0.3297724582
431	0.3296747824
432	0.3296455654
433	0.3295879878
434	0.3295091164
435	0.329497797
436	0.3294604604
437	0.3294150599
438	0.3293679085
439	0.3293669901
440	0.3293035398
441	0.3292264517
442	0.3292248727
443	0.3291717306
444	0.3291364062
445	0.3291359179
446	0.329133761
447	0.3291163181
448	0.329116194
449	0.329082595
450	0.3289154565
451	0.3288502986
452	0.3288501718
453	0.3288370759
454	0.3288247777
455	0.3288239163
456	0.3288022849
457	0.3287938402
458	0.3287838708
459	0.3287795098
460	0.3287487339
461	0.3287418853
462	0.328731908
463	0.3287296669
464	0.3287169538
465	0.3286723886
466	0.3286522136
467	0.3286520684
468	0.3285995746
469	0.3285491827
470	0.32843933
471	0.3283767437
472	0.3283184134
473	0.3283182298
474	0.3283180562
475	0.3282255378
476	0.3281790913
477	0.3281774143
478	0.3281772287
479	0.3281770371
480	0.3281768653
481	0.3281671357
482	0.3281669692
483	0.3280850347
484	0.3280849664
485	0.3280673786
486	0.3280201489
487	0.3279821051
488	0.3279661204
489	0.3279071789
490	0.3278960968
491	0.3278882738
492	0.3278882193
493	0.3278824555
494	0.3278823832
495	0.3278822091
496	0.3278676849
497	0.3278675639
498	0.3278674496
499	0.3278673416
500	0.3278281347
501	0.3278280887
502	0.3278212534
503	0.3278212125
504	0.3278211734
505	0.3277760834
506	0.3276739486
507	0.3276327397
508	0.3276245613
509	0.3275754398
510	0.3275588351
511	0.3275574582
512	0.3275542238
513	0.3275232779
514	0.3275231972
515	0.3275231507
516	0.3274333407
517	0.3274021139
518	0.3273582854
519	0.327273538
520	0.3272734811
521	0.3270805549
522	0.3270544929
523	0.3270522156
524	0.3270338166
525	0.3270337639
526	0.3270337188
527	0.3270334508
528	0.3269737586
529	0.3269736828
530	0.3269488346
531	0.3269487806
532	0.3269156471
533	0.3269055177
534	0.3269054765
535	0.3269045889
536	0.3268842909
537	0.3268391008
538	0.3267959398
539	0.3267958728
540	0.3267641501
541	0.3266501687
542	0.3266116689
543	0.3266115996
544	0.3266115342
545	0.3266114723
546	0.3265728539
547	0.3265714702
548	0.3265517392
549	0.3265516946
550	0.3265516525
551	0.3265510831
552	0.3265452009
553	0.3264928271
554	0.3264667499
555	0.3264385692
556	0.3263306488
557	0.3263306076
558	0.3263305686
559	0.3263304788
560	0.326330444
561	0.3262950681
562	0.3262597615
563	0.3262596963
564	0.3262596644
565	0.326252641
566	0.3262447984
567	0.3262447618
568	0.3262080581
569	0.3262080248
570	0.3261755674
571	0.3261259852
572	0.3260681473
573	0.3260681157
574	0.3260680295
575	0.3260670717
576	0.3260670514
577	0.3260442405
578	0.325979129
579	0.3259740852
580	0.3259740644
581	0.3259679073
582	0.325952273
583	0.3259227435
584	0.3259059058
585	0.3258871837
586	0.3258296713
587	0.3257873009
588	0.3257872605
589	0.3257421011
590	0.3257079379
591	0.3257079224
592	0.3257076683
593	0.3257076546
594	0.3256786483
595	0.3256786353
596	0.3256396134
597	0.3256396009
598	0.3256230324
599	0.325582943
600	0.3255829312
601	0.3255511556
602	0.3254487671
603	0.3254487506
604	0.325448727
605	0.3254285902
606	0.3253905899
607	0.3252843866
608	0.3252818291
609	0.3252818134
610	0.3252817977
611	0.3252630054
612	0.3252629936
613	0.3252466645
614	0.3251460941
615	0.3251374466
616	0.3251374362
617	0.3251152504
618	0.3250891744
619	0.3250891629
620	0.3250699767
621	0.3250642668
622	0.3250464303
623	0.3250464205
624	0.3250423132
625	0.3250422993
626	0.3250250498
627	0.3248993388
628	0.3248860428
629	0.3248860305
630	0.3248860079
631	0.3248859965
632	0.3248859856
633	0.3248500063
634	0.3248499991
635	0.3248499924
636	0.3248199669
637	0.324811551
638	0.3247972525
639	0.32478328
640	0.32477639
641	0.3247763861
642	0.3247763825
643	0.3247677717
644	0.3247517103
645	0.3247517074
646	0.3247517012
647	0.3247516923
648	0.3247516897
649	0.3247516873
650	0.324751685
651	0.3247516828
652	0.3247337164
653	0.3247337141
654	0.3247266107
655	0.3247191276
656	0.3247141831
657	0.3247139016
658	0.3247137306
659	0.3247137285
660	0.3247137265
661	0.324689175
662	0.3246891743
663	0.3246891737
664	0.3246787363
665	0.324678732
666	0.3246787278
667	0.3246787277
668	0.3246653751
669	0.3246653751
670	0.324616083
671	0.3246160828
672	0.3245744223
673	0.3245061685
674	0.3245061656
675	0.3244970749
676	0.3244664729
677	0.3244661203
678	0.3244660748
679	0.3244660722
680	0.3244563445
681	0.3244563445
682	0.3244401229
683	0.3244172484
684	0.3244172458
685	0.3244172458
686	0.3244040682
687	0.3244040682
688	0.3243777538
689	0.3243777512
690	0.3243553944
691	0.3243189383
692	0.3243189381
693	0.3243161738
694	0.324298748
695	0.3242987473
696	0.3242530373
697	0.3242530352
698	0.3242530319
699	0.3242456926
700	0.3242298649
701	0.3242297873
702	0.3241883516
703	0.3241883489
704	0.3241477713
705	0.3241400147
706	0.3241164333
707	0.3240825289
708	0.3240622788
709	0.3240425557
710	0.3240425093
711	0.3239542546
712	0.3239147403
713	0.3238905833
714	0.3238836004
715	0.3238249113
716	0.3238249039
717	0.3238029785
718	0.3237858886
719	0.3237790476
720	0.3237450453
721	0.3237422784
722	0.3237422721
723	0.3237181059
724	0.3237180513
725	0.3236988132
726	0.323698809
727	0.3236988084
728	0.3236988045
729	0.3236861834
730	0.3236861798
731	0.3236861767
732	0.3236653958
733	0.3236639954
734	0.3236432129
735	0.3236432096
736	0.3236314165
737	0.3236141593
738	0.323614157
739	0.323614151
740	0.3236140291
741	0.3235882543
742	0.3235882098
743	0.3235882095
744	0.3235882072
745	0.3235881647
746	0.323581462
747	0.3235814215
748	0.3235809862
749	0.3235809449
750	0.3234807887
751	0.3234807506
752	0.3234804314
753	0.3234649497
754	0.3234649278
755	0.3234460587
756	0.3234163454
757	0.323416184
758	0.3233713103
759	0.3233713094
760	0.3233708331
761	0.3233583496
762	0.3233571521
763	0.323341742
764	0.323320943
765	0.3233209207
766	0.3233148124
767	0.323297177
768	0.3232971209
769	0.3232970942
770	0.3232475037
771	0.3232474986
772	0.3232251494
773	0.3232055058
774	0.3231877291
775	0.3231778446
776	0.3231778084
777	0.3231778042
778	0.32316924
779	0.3231673629
780	0.3231347534
781	0.3231209663
782	0.3231209425
783	0.3231139787
784	0.323107735
785	0.323094563
786	0.3230901901
787	0.3230721893
788	0.3230721833
789	0.3228914672
790	0.3228914427
791	0.3228914393
792	0.3228738316
793	0.3228437887
794	0.3228437741
795	0.3228437712
796	0.3228437685
797	0.3226994982
798	0.3226865057
799	0.3226864969
800	0.3226653283
801	0.3226410765
802	0.3226384581
803	0.3225645611
804	0.322533653
805	0.3225025654
806	0.3224826909
807	0.3224824915
808	0.3224824315
809	0.3224824249
810	0.3224574593
811	0.3224530936
812	0.3224411308
813	0.3224411119
814	0.3224271041
815	0.3224227854
816	0.3224227798
817	0.3224227745
818	0.3223691672
819	0.3223642419
820	0.3223373501
821	0.3222982697
822	0.3222982651
823	0.3222810472
824	0.3222810429
825	0.3222810388
826	0.3222778921
827	0.3222778888
828	0.3222744058
829	0.3222744035
830	0.3222729207
831	0.3222701568
832	0.3222396736
833	0.3222355355
834	0.3222354037
835	0.3222353992
836	0.3222306237
837	0.3222306176
838	0.3222058576
839	0.3222058516
840	0.3222056754
841	0.3222056701
842	0.3221536505
843	0.3221535857
844	0.3221535791
845	0.3221402383
846	0.3221191268
847	0.3220885666
848	0.3220885619
849	0.3220639534
850	0.3220607947
851	0.3220471651
852	0.3220393375
853	0.3220393286
854	0.3220392949
855	0.3219827079
856	0.3219827034
857	0.3219816858
858	0.3219558265
859	0.3219422317
860	0.3218298317
861	0.321816384
862	0.3218137297
863	0.3218137246
864	0.3217974317
865	0.3217524812
866	0.3217524712
867	0.321752467
868	0.3217332214
869	0.3217198617
870	0.3217198578
871	0.3217088176
872	0.3217088121
873	0.3217088086
874	0.321684517
875	0.3216812515
876	0.3216606358
877	0.3216486358
878	0.3216486316
879	0.3215894571
880	0.3215894554
881	0.3215713815
882	0.3215713526
883	0.3215713232
884	0.3215713014
885	0.3215134598
886	0.3215134569
887	0.3215134424
888	0.3215121138
889	0.3215046614
890	0.3215046599
891	0.3214930623
892	0.3214328533
893	0.3214297523
894	0.3214217798
895	0.3214042849
896	0.3213886088
897	0.3213886072
898	0.3213886049
899	0.3213883148
900	0.321383333
901	0.3213316119
902	0.3213316012
903	0.3212654539
904	0.3212654535
905	0.3212625642
906	0.3212625518
907	0.3212584129
908	0.3212583917
909	0.3212582207
910	0.321251013
911	0.3212510125
912	0.3211889401
913	0.3211889294
914	0.321183741
915	0.3211837309
916	0.3211837158
917	0.3211837015
918	0.3211796342
919	0.3211796285
920	0.321164151
921	0.3211378419
922	0.3211261049
923	0.3210503886
924	0.3210503875
925	0.3210021364
926	0.3209169543
927	0.3209134749
928	0.3209134739
929	0.320905197
930	0.320905197
931	0.3209041885
932	0.3209041884
933	0.3209028723
934	0.3208934759
935	0.3208934449
936	0.3208706497
937	0.3208682949
938	0.3208385952
939	0.3208385815
940	0.3208306642
941	0.320829391
942	0.3208194096
943	0.3208047108
944	0.3208046269
945	0.3208046244
946	0.3208011713
947	0.3208011696
948	0.3207925848
949	0.3207831306
950	0.320772431
951	0.3207724179
952	0.3207395802
953	0.3207395721
954	0.320739572
955	0.3207273751
956	0.3207246674
957	0.3207246611
958	0.3207061217
959	0.320646849
960	0.3206295269
961	0.3205873184
962	0.3205871797
963	0.3205829051
964	0.3205828987
965	0.3205569677
966	0.3205256914
967	0.3205256913
968	0.3205256892
969	0.3205171468
970	0.3204705066
971	0.320437326
972	0.320437326
973	0.3204252317
974	0.3204240737
975	0.3204175527
976	0.3204023994
977	0.3203793739
978	0.3203662154
979	0.3203661982
980	0.3203661972
981	0.3203401361
982	0.3202991119
983	0.320299111
984	0.3202991098
985	0.3202989586
986	0.3202794132
987	0.3202782869
988	0.3202782736
989	0.3202667704
990	0.3202667702
991	0.320264985
992	0.3202647147
993	0.3202621382
994	0.3202309127
995	0.3202282154
996	0.32022811
997	0.3201139493
998	0.3201091544
999	0.3201063873
